"area","nroom","price"
2104,3,399.9
1600,3,329.9
2400,3,369
1416,2,232
3000,4,539.9
1985,4,299.9
1534,3,314.9
1427,3,198.999
1380,3,212
1494,3,242.5
1940,4,239.999
2000,3,347
1890,3,329.999
4478,5,699.9
1268,3,259.9
2300,4,449.9
1320,2,299.9
1236,3,199.9
2609,4,499.998
3031,4,599
1767,3,252.9
1888,2,255
1604,3,242.9
1962,4,259.9
3890,3,573.9
1100,3,249.9
1458,3,464.5
2526,3,469
2200,3,475
2637,3,299.9
1839,2,349.9
1000,1,169.9
2040,4,314.9
3137,3,579.9
1811,4,285.9
1437,3,249.9
1239,3,229.9
2132,4,345
4215,4,549
2162,4,287
1664,2,368.5
2238,3,329.9
2567,4,314
1200,3,299
852,2,179.9
1852,4,299.9
1203,3,239.5
